file,rows,missing_cols,high_missing,reasons
SPBX.parquet,185,,,low_rows(185)
SPCT.parquet,3,,,low_rows(3)
SPCY.parquet,147,,,low_rows(147)
SPEG.parquet,19,,,low_rows(19)
SPEGR.parquet,1,,,low_rows(1)
SPEGU.parquet,58,,,low_rows(58)
SPHL.parquet,240,,,low_rows(240)
SPMA.parquet,224,,,low_rows(224)
SPME.parquet,58,,,low_rows(58)
SPUT.parquet,141,,,low_rows(141)
SPXD.parquet,50,,,low_rows(50)
SPXM.parquet,63,,,low_rows(63)
SPYA.parquet,86,,,low_rows(86)
SPYH.parquet,127,,,low_rows(127)
SQMX.parquet,184,,,low_rows(184)
SSEA.parquet,1,,,low_rows(1)
SSEAR.parquet,1,,,low_rows(1)
SSEAU.parquet,40,,,low_rows(40)
SSK.parquet,66,,,low_rows(66)
STAK.parquet,153,,,low_rows(153)
STEN.parquet,3,,,low_rows(3)
STFS.parquet,245,,,low_rows(245)
STHH.parquet,127,,,low_rows(127)
STOX.parquet,70,,,low_rows(70)
STRC.parquet,47,,,low_rows(47)
STRD.parquet,83,,,low_rows(83)
STRF.parquet,133,,,low_rows(133)
STRK.parquet,169,,,low_rows(169)
STRN.parquet,32,,,low_rows(32)
STRZ.parquet,104,,,low_rows(104)
STUB.parquet,13,,,low_rows(13)
SVAC.parquet,4,,,low_rows(4)
SVACU.parquet,22,,,low_rows(22)
SVCC.parquet,135,,,low_rows(135)
SVCCU.parquet,171,,,low_rows(171)
SVIIR.parquet,1,,,low_rows(1)
SYZ.parquet,15,,,low_rows(15)
SZZL.parquet,92,,,low_rows(92)
SZZLR.parquet,1,,,low_rows(1)
SZZLU.parquet,128,,,low_rows(128)
TACH.parquet,87,,,low_rows(87)
TACHU.parquet,123,,,low_rows(123)
TACO.parquet,84,,,low_rows(84)
TACOU.parquet,109,,,low_rows(109)
TAPR.parquet,129,,,low_rows(129)
TAVI.parquet,196,,,low_rows(196)
TAVIR.parquet,1,,,low_rows(1)
TAVIU.parquet,207,,,low_rows(207)
TAX.parquet,198,,,low_rows(198)
TAXI.parquet,33,,,low_rows(33)
TAXM.parquet,142,,,low_rows(142)
TAXS.parquet,33,,,low_rows(33)
TAXT.parquet,33,,,low_rows(33)
TBH.parquet,147,,,low_rows(147)
TBXU.parquet,3,,,low_rows(3)
TCAI.parquet,43,,,low_rows(43)
TCAL.parquet,132,,,low_rows(132)
TCPB.parquet,158,,,low_rows(158)
TCV.parquet,56,,,low_rows(56)
TDAC.parquet,161,,,low_rows(161)
TDACU.parquet,194,,,low_rows(194)
TDAQ.parquet,22,,,low_rows(22)
TDEC.parquet,195,,,low_rows(195)
TDIC.parquet,52,,,low_rows(52)
TEC.parquet,117,,,low_rows(117)
TEK.parquet,238,,,low_rows(238)
TEKY.parquet,125,,,low_rows(125)
TEMT.parquet,100,,,low_rows(100)
TEMX.parquet,149,,,low_rows(149)
TEXN.parquet,72,,,low_rows(72)
TEXU.parquet,3,,,low_rows(3)
TFNS.parquet,79,,,low_rows(79)
TGE.parquet,84,,,low_rows(84)
TGHL.parquet,26,,,low_rows(26)
TGLB.parquet,70,,,low_rows(70)
THEQ.parquet,132,,,low_rows(132)
THH.parquet,27,,,low_rows(27)
THMZ.parquet,125,,,low_rows(125)
THRV.parquet,4,,,low_rows(4)
TIC.parquet,159,,,low_rows(159)
TIER.parquet,70,,,low_rows(70)
TIIV.parquet,50,,,low_rows(50)
TIPA.parquet,33,,,low_rows(33)
TIPB.parquet,33,,,low_rows(33)
TIPC.parquet,33,,,low_rows(33)
TIPD.parquet,33,,,low_rows(33)
TJAN.parquet,189,,,low_rows(189)
TJUN.parquet,73,,,low_rows(73)
TLCI.parquet,148,,,low_rows(148)
TLIH.parquet,63,,,low_rows(63)
TLNCU.parquet,19,,,low_rows(19)
TLTI.parquet,203,,,low_rows(203)
TLTP.parquet,233,,,low_rows(233)
TLTX.parquet,57,,,low_rows(57)
TLX.parquet,221,,,low_rows(221)
TMAR.parquet,135,,,low_rows(135)
TMB.parquet,167,,,low_rows(167)
TMDE.parquet,116,,,low_rows(116)
TMED.parquet,79,,,low_rows(79)
TMH.parquet,141,,,low_rows(141)
TMUSI.parquet,42,,,low_rows(42)
TMUSL.parquet,42,,,low_rows(42)
TMUSZ.parquet,42,,,low_rows(42)
TNGY.parquet,77,,,low_rows(77)
TOCT.parquet,3,,,low_rows(3)
TOPC.parquet,118,,,low_rows(118)
TOPP.parquet,177,,,low_rows(177)
TOPT.parquet,236,,,low_rows(236)
TOT.parquet,23,,,low_rows(23)
TOV.parquet,152,,,low_rows(152)
TPLS.parquet,167,,,low_rows(167)
TQQY.parquet,153,,,low_rows(153)
TRIL.parquet,4,,,low_rows(4)
TRIO.parquet,147,,,low_rows(147)
TRSY.parquet,247,,,low_rows(247)
TRUD.parquet,31,,,low_rows(31)
TRUT.parquet,31,,,low_rows(31)
TSEL.parquet,188,,,low_rows(188)
TSII.parquet,85,,,low_rows(85)
TSLG.parquet,201,,,low_rows(201)
TSLI.parquet,18,,,low_rows(18)
TSLO.parquet,37,,,low_rows(37)
TSLV.parquet,4,,,low_rows(4)
TSLW.parquet,158,,,low_rows(158)
TSMG.parquet,182,,,low_rows(182)
TSMU.parquet,223,,,low_rows(223)
TSPX.parquet,155,,,low_rows(155)
TSXD.parquet,3,,,low_rows(3)
TSXU.parquet,3,,,low_rows(3)
TSYY.parquet,198,,,low_rows(198)
TTAM.parquet,165,,,low_rows(165)
TTAN.parquet,202,,,low_rows(202)
TTDU.parquet,13,,,low_rows(13)
TTEQ.parquet,236,,,low_rows(236)
TTXD.parquet,3,,,low_rows(3)
TTXU.parquet,3,,,low_rows(3)
TURF.parquet,79,,,low_rows(79)
TUSB.parquet,158,,,low_rows(158)
TVA.parquet,97,,,low_rows(97)
TVACU.parquet,114,,,low_rows(114)
TVAI.parquet,66,,,low_rows(66)
TVAIR.parquet,1,,,low_rows(1)
TVAIU.parquet,98,,,low_rows(98)
TWNP.parquet,173,,,low_rows(173)
TWOD.parquet,97,,,low_rows(97)
TWOX.parquet,180,,,low_rows(180)
TXUE.parquet,177,,,low_rows(177)
TXUG.parquet,176,,,low_rows(176)
TXXI.parquet,142,,,low_rows(142)
UFG.parquet,182,,,low_rows(182)
UMBFO.parquet,88,,,low_rows(88)
UNHG.parquet,53,,,low_rows(53)
UNX.parquet,14,,,low_rows(14)
UPB.parquet,245,,,low_rows(245)
UPSD.parquet,216,,,low_rows(216)
UPSX.parquet,81,,,low_rows(81)
URSP.parquet,27,,,low_rows(27)
USAF.parquet,217,,,low_rows(217)
USNG.parquet,95,,,low_rows(95)
UX.parquet,172,,,low_rows(172)
UXAP.parquet,116,,,low_rows(116)
UXJA.parquet,178,,,low_rows(178)
UXJL.parquet,54,,,low_rows(54)
UXOC.parquet,239,,,low_rows(239)
UXRP.parquet,58,,,low_rows(58)
UYSC.parquet,91,,,low_rows(91)
UYSCR.parquet,1,,,low_rows(1)
UYSCU.parquet,130,,,low_rows(130)
VBIL.parquet,162,,,low_rows(162)
VCIC.parquet,234,,,low_rows(234)
VCRM.parquet,216,,,low_rows(216)
VENU.parquet,212,,,low_rows(212)
VEXC.parquet,1,,,low_rows(1)
VG.parquet,175,,,low_rows(175)
VGHY.parquet,13,,,low_rows(13)
VGMS.parquet,80,,,low_rows(80)
VGUS.parquet,162,,,low_rows(162)
VGVT.parquet,62,,,low_rows(62)
VIA.parquet,16,,,low_rows(16)
VIXI.parquet,40,,,low_rows(40)
VNIE.parquet,98,,,low_rows(98)
VNME.parquet,30,,,low_rows(30)
VNMEU.parquet,66,,,low_rows(66)
VNTG.parquet,80,,,low_rows(80)
VOLT.parquet,207,,,low_rows(207)
VOYG.parquet,80,,,low_rows(80)
VOYX.parquet,19,,,low_rows(19)
VRM.parquet,157,,,low_rows(157)
VRTL.parquet,134,,,low_rows(134)
VSDB.parquet,127,,,low_rows(127)
VSDM.parquet,216,,,low_rows(216)
VSTL.parquet,53,,,low_rows(53)
VTEL.parquet,93,,,low_rows(93)
VTG.parquet,61,,,low_rows(61)
VTP.parquet,61,,,low_rows(61)
VWAV.parquet,58,,,low_rows(58)
VYLD.parquet,136,,,low_rows(136)
WAR.parquet,190,,,low_rows(190)
WBI.parquet,13,,,low_rows(13)
WCAP.parquet,17,,,low_rows(17)
WCME.parquet,245,,,low_rows(245)
WCMI.parquet,249,,,low_rows(249)
WCPB.parquet,37,,,low_rows(37)
WDAF.parquet,16,,,low_rows(16)
WDEF.parquet,56,,,low_rows(56)
WDGF.parquet,16,,,low_rows(16)
WEEK.parquet,147,,,low_rows(147)
WENN.parquet,64,,,low_rows(64)
WENNU.parquet,97,,,low_rows(97)
WETO.parquet,152,,,low_rows(152)
WFF.parquet,132,,,low_rows(132)
WGRX.parquet,156,,,low_rows(156)
WHLRL.parquet,167,,,low_rows(167)
WHTX.parquet,127,,,low_rows(127)
WILD.parquet,85,,,low_rows(85)
WLAC.parquet,191,,,low_rows(191)
WLACU.parquet,224,,,low_rows(224)
WNTR.parquet,132,,,low_rows(132)
WOLF.parquet,5,,,low_rows(5)
WPAY.parquet,22,,,low_rows(22)
WRD.parquet,235,,,low_rows(235)
WSBK.parquet,107,,,low_rows(107)
WSML.parquet,127,,,low_rows(127)
WTF.parquet,129,,,low_rows(129)
WTFCN.parquet,102,,,low_rows(102)
WTG.parquet,54,,,low_rows(54)
WTGUR.parquet,1,,,low_rows(1)
WTGUU.parquet,89,,,low_rows(89)
WTIP.parquet,75,,,low_rows(75)
WTMU.parquet,127,,,low_rows(127)
WTMY.parquet,127,,,low_rows(127)
WXET.parquet,194,,,low_rows(194)
WXM.parquet,129,,,low_rows(129)
WYFI.parquet,41,,,low_rows(41)
WYHG.parquet,213,,,low_rows(213)
WZRD.parquet,71,,,low_rows(71)
XBTY.parquet,100,,,low_rows(100)
XDIV.parquet,61,,,low_rows(61)
XHLD.parquet,161,,,low_rows(161)
XIDV.parquet,176,,,low_rows(176)
XLBI.parquet,47,,,low_rows(47)
XLCI.parquet,47,,,low_rows(47)
XLEI.parquet,47,,,low_rows(47)
XLFI.parquet,47,,,low_rows(47)
XLII.parquet,47,,,low_rows(47)
XLKI.parquet,47,,,low_rows(47)
XLRI.parquet,47,,,low_rows(47)
XLSI.parquet,47,,,low_rows(47)
XLUI.parquet,47,,,low_rows(47)
XLVI.parquet,47,,,low_rows(47)
XLYI.parquet,47,,,low_rows(47)
XMAG.parquet,238,,,low_rows(238)
XOEF.parquet,62,,,low_rows(62)
XOMX.parquet,114,,,low_rows(114)
XOMZ.parquet,114,,,low_rows(114)
XPAY.parquet,231,,,low_rows(231)
XRPI.parquet,93,,,low_rows(93)
XRPR.parquet,12,,,low_rows(12)
XRPT.parquet,93,,,low_rows(93)
XUDV.parquet,176,,,low_rows(176)
XV.parquet,119,,,low_rows(119)
XXRP.parquet,124,,,low_rows(124)
XYZG.parquet,126,,,low_rows(126)
YAAS.parquet,196,,,low_rows(196)
YB.parquet,109,,,low_rows(109)
YDES.parquet,28,,,low_rows(28)
YFFI.parquet,189,,,low_rows(189)
YFYA.parquet,170,,,low_rows(170)
YGLD.parquet,209,,,low_rows(209)
YHNA.parquet,225,,,low_rows(225)
YHNAR.parquet,1,,,low_rows(1)
YMAT.parquet,47,,,low_rows(47)
YMT.parquet,33,,,low_rows(33)
YNOT.parquet,61,,,low_rows(61)
YOKE.parquet,127,,,low_rows(127)
YOUL.parquet,61,,,low_rows(61)
YSPY.parquet,127,,,low_rows(127)
YSXT.parquet,198,,,low_rows(198)
ZAP.parquet,198,,,low_rows(198)
ZAPR.parquet,129,,,low_rows(129)
ZDEK.parquet,210,,,low_rows(210)
ZFEB.parquet,169,,,low_rows(169)
ZFZZT.parquet,1,,,low_rows(1)
ZGM.parquet,19,,,low_rows(19)
ZIPP.parquet,147,,,low_rows(147)
ZJAN.parquet,189,,,low_rows(189)
ZJUN.parquet,87,,,low_rows(87)
ZJZZT.parquet,1,,,low_rows(1)
ZMAR.parquet,150,,,low_rows(150)
ZMAY.parquet,108,,,low_rows(108)
ZMUN.parquet,4,,,low_rows(4)
ZNOV.parquet,230,,,low_rows(230)
ZSPC.parquet,207,,,low_rows(207)
ZTOP.parquet,119,,,low_rows(119)
ZVZZT.parquet,1,,,low_rows(1)
ZWZZT.parquet,1,,,low_rows(1)
ZXZZT.parquet,1,,,low_rows(1)
ZYBT.parquet,186,,,low_rows(186)
ZYN.parquet,22,,,low_rows(22)
