file,rows,missing_cols,high_missing,reasons
COLA.parquet,140,,,low_rows(140)
COLAR.parquet,1,,,low_rows(1)
COLAU.parquet,176,,,low_rows(176)
COPL.parquet,87,,,low_rows(87)
COPY.parquet,192,,,low_rows(192)
CORD.parquet,6,,,low_rows(6)
CORO.parquet,206,,,low_rows(206)
CORX.parquet,207,,,low_rows(207)
CORZZ.parquet,1,,,low_rows(1)
COSO.parquet,103,,,low_rows(103)
COTG.parquet,12,,,low_rows(12)
COYY.parquet,48,,,low_rows(48)
CPAG.parquet,38,,,low_rows(38)
CPHY.parquet,38,,,low_rows(38)
CPNM.parquet,150,,,low_rows(150)
CPNQ.parquet,210,,,low_rows(210)
CPRA.parquet,129,,,low_rows(129)
CPRY.parquet,189,,,low_rows(189)
CPSD.parquet,210,,,low_rows(210)
CPSF.parquet,169,,,low_rows(169)
CPSN.parquet,230,,,low_rows(230)
CPSP.parquet,129,,,low_rows(129)
CPSR.parquet,150,,,low_rows(150)
CPSU.parquet,87,,,low_rows(87)
CPSY.parquet,189,,,low_rows(189)
CPXR.parquet,177,,,low_rows(177)
CRAQ.parquet,73,,,low_rows(73)
CRAQR.parquet,1,,,low_rows(1)
CRAQU.parquet,92,,,low_rows(92)
CRBD.parquet,206,,,low_rows(206)
CRCA.parquet,41,,,low_rows(41)
CRCD.parquet,6,,,low_rows(6)
CRCG.parquet,39,,,low_rows(39)
CRCL.parquet,84,,,low_rows(84)
CRCO.parquet,3,,,low_rows(3)
CRDU.parquet,14,,,low_rows(14)
CRE.parquet,52,,,low_rows(52)
CRMG.parquet,126,,,low_rows(126)
CRWG.parquet,39,,,low_rows(39)
CRWL.parquet,223,,,low_rows(223)
CRWU.parquet,49,,,low_rows(49)
CRWV.parquet,131,,,low_rows(131)
CSAI.parquet,171,,,low_rows(171)
CSCL.parquet,71,,,low_rows(71)
CSCS.parquet,71,,,low_rows(71)
CSNR.parquet,167,,,low_rows(167)
CSPF.parquet,167,,,low_rows(167)
CSRE.parquet,167,,,low_rows(167)
CSTK.parquet,104,,,low_rows(104)
CTEF.parquet,75,,,low_rows(75)
CTIF.parquet,71,,,low_rows(71)
CTWO.parquet,74,,,low_rows(74)
CUPR.parquet,122,,,low_rows(122)
CURX.parquet,28,,,low_rows(28)
CV.parquet,66,,,low_rows(66)
CVNX.parquet,89,,,low_rows(89)
CVNY.parquet,170,,,low_rows(170)
CWVX.parquet,60,,,low_rows(60)
